grouping_key,clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
Goiás,290,Cristiano da Silva Vidal,vidal,Vidal,95540,21,2,6,0,1.43,0,-0.7,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Goiás,290,Shaylon Kallyson Cardoso,shaylon,Shaylon,97520,21,4,6,-0.4,2.86,-1.58,2.77,6,0,1,0,0,0,0,0,0,0,5,38,0,0,2,0,1,0,0
Goiás,290,Vinícius Lopes da Silva,vinicius,Vinícius,104660,21,5,5,1.6,5,-0.45,4.53,14,0,23,0,2,0,0,0,0,0,29,48,2,0,9,8,3,0,0
Goiás,290,Walisson Oliveira da Silva,walisson-pequeno,Walisson Pequeno,101696,21,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goiás,290,Daniel de Pauli Oliveira,daniel-oliveira,Daniel Oliveira,106076,21,2,6,0,1.64,0,1.16,5,0,6,0,1,0,1,0,0,0,1,5,0,0,0,1,0,0,0
Goiás,290,Douglas Baggio de Oliveira Costa,douglas-baggio,Douglas Baggio,88072,21,5,7,2.2,4.33,-0.13,2.33,11,0,12,0,0,0,0,0,0,0,18,37,0,1,4,5,0,1,0
Goiás,290,Jurani Francisco Ferreira,ratinho,Ratinho,101841,21,4,6,0,2.26,0,1.04,7,0,10,0,2,0,0,0,0,0,4,13,0,0,0,2,0,0,0
Goiás,290,Henrique Lordelo Souza de Oliveira,henrique-lordelo,Henrique Lordelo,107259,21,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goiás,290,Augusto Pedro de Souza,augusto-cesar,Augusto César,102673,21,6,7,0,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goiás,290,Alejandro Ariel Cabral,ariel-cabral,Ariel Cabral,80363,21,4,7,-0.4,4.94,-0.62,1.86,5,0,7,0,1,0,0,0,0,0,4,34,0,0,1,0,0,0,0
Goiás,290,Sandro Diego de Moraes Bueno,sandrinho,Sandrinho,110373,21,5,6,0,0.77,0,-3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Goiás,290,Alyson José da Motta,alyson,Alyson,110561,21,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goiás,290,Luis Francisco Grando,chico,Chico,50446,21,3,5,-2.4,2.8,-1.02,-1.35,2,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Goiás,290,Sebastián Enrique Salazar Beltrán,salazar,Salazar,91415,21,4,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sport,292,Lucas Henrique Ferreira Venuto,lucas-venuto,Lucas Venuto,100290,21,5,6,0,2.16,0,1.07,6,0,3,0,0,0,0,0,0,0,10,21,0,1,0,0,0,0,0
Sport,292,Hernane Vidal Souza,hernane,Hernane,72386,21,5,6,0.5,2.72,-0.08,1.38,15,0,7,0,2,0,0,0,0,0,17,17,0,0,0,3,2,0,0
Sport,292,Jonatan David Gomez Ospina,jonatan-gomez,Jonatan Gomez,94857,21,4,2,1.8,9.66,0,1.59,17,0,13,0,1,0,0,0,0,0,23,50,0,0,2,14,1,1,0
Sport,292,Thiago Neves Augusto,thiago-neves,Thiago Neves,38277,21,4,7,-1.1,4.25,-0.38,2.45,14,0,5,0,1,0,0,0,0,0,4,83,2,0,7,7,2,0,0
Sport,292,Leandro Barcia Montero,leandro-barcia,Leandro Barcia,91242,21,5,7,4.1,6.44,0.25,2.46,14,0,15,0,2,0,0,0,0,0,17,77,0,0,5,5,2,6,0
Sport,292,Patric Cabral Lalau,patric,Patric,60969,21,2,7,2.6,8.41,-0.74,2.9,19,0,26,0,2,1,3,0,0,0,21,168,3,1,2,9,1,4,0
Sport,292,Luan Polli Gomes,luan-polli,Luan Polli ,88916,21,1,7,0,5.29,0,1.66,13,0,0,0,3,0,4,15,0,18,2,175,0,0,0,0,0,0,0
Sport,292,Ronaldo Henrique Silva,ronaldo-silva,Ronaldo Silva,71640,21,5,6,0,0.81,0,-2.2,3,0,1,0,1,1,0,0,0,0,0,3,0,0,1,0,0,2,0
Sport,292,Marcos Antônio Almeida Silva,marcao-silva,Marcão Silva,78856,21,4,6,0,4.93,0,2.12,11,0,19,0,3,0,0,0,0,0,10,14,0,0,0,4,1,0,0
Sport,292,Rafael Thyere de Albuquerque Marques,rafael-thyere,Rafael Thyere,83048,21,3,6,0,4.25,0,5.2,2,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0
Sport,292,Lucas Andrés Mugni,lucas-mugni,Lucas Mugni,81121,21,4,7,1,4.53,-0.75,3.15,16,0,14,0,1,0,0,0,0,0,10,94,1,0,3,7,1,3,0
Sport,292,Raul Prata,raul-prata,Raul Prata,84855,21,2,6,0,5.56,0,6.85,2,0,1,0,0,0,2,0,0,0,2,8,0,0,0,0,0,0,0
Sport,292,Roberto Pimenta Vinagre Filho,betinho,Betinho,82876,21,4,6,0,4.89,0,2,10,0,22,0,3,0,0,0,0,0,10,54,1,0,0,3,0,0,0
Sport,292,Ronaldo Henrique Ferreira da Silva,ronaldo-henrique,Ronaldo Henrique,85149,21,4,6,0,2.73,0,0.45,9,0,10,0,2,0,0,0,0,0,6,18,0,0,0,1,0,0,0
Sport,292,Adryelson Shawann Lima Silva,adryelson,Adryelson,91664,21,3,7,1.1,3.49,-0.77,1.2,19,0,23,1,5,0,4,0,0,0,14,71,0,1,2,5,0,0,0
Sport,292,Maílson Tenório dos Santos,mailson,Maílson,98034,21,1,6,-4.4,0.98,-0.91,-0.4,7,0,1,0,1,0,0,6,0,10,1,58,0,0,0,0,0,0,0
Sport,292,João Igor Oliveira de Santana,joao-igor,João Igor,104217,21,4,6,0,1.93,0,-0.37,3,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Sport,292,Bruno Roberto Pereira da Silva,bruninho,Bruninho,101716,21,4,6,0,3.76,0,1.55,9,0,4,0,1,0,0,0,0,0,3,20,0,2,3,3,0,1,0
Sport,292,Alesandro dos Santos Pereira,ale-santos,Alê Santos,99256,21,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sport,292,Carlos Eduardo Soares Mota,carlos-eduardo,Carlos Eduardo,90416,21,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sport,292,Francisco Alves da Silva Melo,chico,Chico,99253,21,3,6,0,3.36,0,3.14,9,0,5,0,1,0,4,0,0,0,2,30,0,0,0,1,0,0,0
Sport,292,Luciano Batista da Silva Junior,luciano-juba,Luciano Juba,107093,21,2,6,0,3.14,0,2.21,14,0,10,0,1,0,2,0,0,0,1,106,2,2,1,1,0,0,0
Sport,292,Maxwell Lima Santos Silva,maxwell,Maxwell,107092,21,5,5,0,2.24,0,0.93,3,0,1,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0
Sport,292,Sander Henrique Bortolotto,sander,Sander,86391,21,2,7,3.2,8.45,-0.11,2.41,12,0,10,0,1,1,1,0,0,0,18,97,0,0,1,3,0,0,0
Sport,292,Ricardo Ribeiro de Lima,ricardinho,Ricardinho,68832,21,4,7,0.6,3.51,0.07,1.76,18,0,16,0,2,0,0,0,0,0,29,46,0,0,6,2,0,2,0
Sport,292,Pedro Henrique Nunes Silva,pedrao,Pedrão,107541,21,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sport,292,Helber Ítalo dos Santos,italo,Ítalo,109395,21,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sport,292,Mikael Filipe Viana,mikael,Mikael,102299,21,5,6,2.6,3.36,0.51,2.75,4,0,2,0,0,0,0,0,0,0,2,4,0,0,2,0,1,0,0
Sport,292,Túlio Galindo Bandeira de Melo,tulio,Túlio,109566,21,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
